timestep,mean_reward,mean_ep_length,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,learning_rate,fps,elapsed
129024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,158.95983505249023
131072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,161.51883625984192
133120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,164.0385777950287
135168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,166.4214732646942
137216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,168.67152404785156
139264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,171.07032179832458
141312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,173.3255500793457
143360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,175.5561165809631
145408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,177.78379464149475
147456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,180.04556131362915
149504,-87060.94024312496,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,182.30534768104556
151552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,186.5169599056244
153600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,188.7178950309753
155648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,190.9130654335022
157696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,193.17134928703308
159744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,195.3524875640869
161792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,197.5151343345642
163840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,199.75947093963623
165888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,201.96810626983645
167936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,204.20522904396057
169984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,206.3916597366333
172032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,208.6489520072937
174080,-90256.6576217413,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,210.88690876960757
176128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,215.0729501247406
178176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,217.30336260795596
180224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,219.55719804763797
182272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,221.800496339798
184320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,224.03873372077945
186368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,226.25769472122192
188416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,228.46518802642825
190464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,230.72143864631653
192512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,232.932181596756
194560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,235.15057039260864
196608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,237.4275152683258
198656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,239.6328489780426
200704,-87741.26079718769,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,244.22044038772583
202752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,246.42071557044983
204800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,248.7179849147797
206848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,251.27036023139956
208896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,253.7768623828888
210944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,256.1457064151764
212992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,258.4192101955414
215040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,260.8873279094696
217088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,263.39259243011475
219136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,265.80828857421875
221184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,268.60580611228943
223232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,271.2661647796631
225280,-89126.07079923153,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,275.91994166374207
227328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,278.159232378006
229376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,280.3634202480316
231424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,282.6370341777801
233472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,284.8990173339844
235520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,287.0658721923828
237568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,289.30971574783325
239616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,291.4996514320373
241664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,293.72827434539795
243712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,295.92970728874207
245760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,298.1977698802948
247808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,300.4376859664917
249856,-93454.71788823605,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,302.77640676498413
251904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,307.2278003692627
